Brief description,Notes,Loss of value from Industrial-1 as proportion of loss of value from Preindustrial-1,Loss of value of reverting to Preindustrial-1 as as proportion of loss of value of extinction,Loss of value of reverting to Industrial-1 as proportion of loss of value of extinction,Absolute loss of expected value from transitioning to Preindustrial-1,Absolute loss of expected value from transitioning to Industrial-1,perils-0,multiplanetary-0,preindustrial-1,industrial-1,perils-1,multiplanetary-1,preindustrial-2,industrial-2,perils-2,multiplanetary-2,preindustrial-3,industrial-3,perils-3,multiplanetary-3,preindustrial-4,industrial-4,perils-4,multiplanetary-4,preindustrial-5,industrial-5,perils-5,multiplanetary-5,preindustrial-6,industrial-6,perils-6,multiplanetary-6,preindustrial-7,industrial-7,perils-7,multiplanetary-7,preindustrial-8,industrial-8,perils-8,multiplanetary-8,preindustrial-9,industrial-9,perils-9,multiplanetary-9,MAX_PLANETS,MAX_CIVILISATIONS,MAX_PROGRESS_YEARS,perils_current_progress_year,perils_extinction_y_scale,perils_extinction_base_x_scale,perils_extinction_stretch_per_reboot,perils_extinction_per_civilisation_background_risk_numerator,perils_extinction_x_translation,perils_extinction_sharpness,perils_extinction_base_background_risk_denominator,perils_preindustrial_y_scale,perils_preindustrial_base_x_scale,perils_preindustrial_stretch_per_reboot,perils_preindustrial_per_civilisation_background_risk_numerator,perils_preindustrial_x_translation,perils_preindustrial_sharpness,perils_preindustrial_base_background_risk_denominator,perils_industrial_y_scale,perils_industrial_base_x_scale,perils_industrial_stretch_per_reboot,perils_industrial_per_civilisation_background_risk_numerator,perils_industrial_x_translation,perils_industrial_sharpness,perils_industrial_base_background_risk_denominator,perils_progress_year_n_algorithm,perils_progress_year_n_geometric_base,perils_progress_year_n_any_regression,perils_multiplanetary_base_x_scale,perils_multiplanetary_x_translation,perils_multiplanetary_y_scale,perils_multiplanetary_sharpness,perils_multiplanetary_scale_per_reboot,perils_multiplanetary_per_civilisation_background_risk_numerator,perils_multiplanetary_base_background_risk_denominator,perils_interstellar_y_scale,perils_interstellar_base_x_scale,perils_interstellar_x_translation,perils_interstellar_sharpness,perils_interstellar_stretch_per_reboot,perils_interstellar_per_civilisation_background_risk_numerator,perils_interstellar_base_background_risk_denominator,multiplanetary_extinction_two_planet_risk,multiplanetary_extinction_decay_rate,multiplanetary_extinction_min_risk,multiplanetary_extinction_x_translation,multiplanetary_preindustrial_two_planet_risk,multiplanetary_preindustrial_decay_rate,multiplanetary_preindustrial_min_risk,multiplanetary_preindustrial_x_translation,multiplanetary_industrial_two_planet_risk,multiplanetary_industrial_decay_rate,multiplanetary_industrial_min_risk,multiplanetary_industrial_x_translation,multiplanetary_n_planets_two_planet_risk,multiplanetary_n_planets_decay_rate,multiplanetary_n_planets_x_translation,multiplanetary_n_planets_min_risk,multiplanetary_n_planets_geometric_base,multiplanetary_perils,multiplanetary_interstellar_x_scale,multiplanetary_interstellar_y_scale,multiplanetary_interstellar_x_translation,multiplanetary_interstellar_sharpness,preperils_preindustrial_base_expected_time_in_years,preperils_preindustrial_extinction_probability_per_year_denominator,preperils_preindustrial_stretch_per_reboot,preperils_industrial_base_annual_extinction_probability_denominator,preperils_industrial_annual_extinction_probability_multiplier,preperils_industrial_base_expected_time_in_years,preperils_industrial_stretch_per_reboot,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults,,0.07919467392,0.1633654045,0.01293766994,0.1152051528,0.009123634513,0.7051992015,0.7222248635,0.5899940487,0.696075567,0.6982126813,0.7194952939,0.5760436935,0.6852588029,0.6880795051,0.7134046784,0.551528595,0.661815891,0.6654688779,0.7000113416,0.5047448909,0.6112228003,0.615747837,0.6704830461,0.4099054956,0.5011500017,0.5061278362,0.6114114084,0.2292067673,0.2830581286,0.2868319755,0.5483199431,0.04141475059,0.05168751525,0.0526130217,0.5353676211,0.003504696066,0.004422751069,0.004529191326,0.5342373838,0.0002528956106,0.0003228758283,0.0003333306753,0.5341475947,20,10,4000,70,0.00035,118,3.5,1.05,15,2.5,184000,0.0009,20,3.5,1.05,10,2,87000,0.0015,69,3.5,1.05,0,2,61000,exponential,1.4,0.026,66,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults with linear perils algorithms,,0.4648251001,0.2514784036,0.1168934741,0.1594210181,0.07410289068,0.6339352238,0.6854124016,0.4745142057,0.5598323331,0.5615511489,0.6530270902,0.3694665969,0.4395156838,0.4413248439,0.5985066808,0.1980165894,0.2376132928,0.2389248332,0.5455013481,0.03455094396,0.04183960075,0.04214934988,0.5351205315,0.002925227078,0.003576379363,0.003611902907,0.5342235804,0.0002254152549,0.000278375813,0.0002820872333,0.5341534922,1.72E-05,2.15E-05,2.19E-05,0.534148051,1.31E-06,1.65E-06,1.69E-06,0.5341476282,9.44E-08,1.21E-07,1.24E-07,0.5341475947,20,10,4000,70,0.00035,118,3.5,1.05,15,2.5,184000,0.0009,20,3.5,1.05,10,2,87000,0.0015,69,3.5,1.05,0,2,61000,linear,1,0.026,66,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults with 5000 rather than 4000 max progress years and 12 rather than 10 max civilisations,"Higher values of these params make this more ‘accurate’ (in that they better approximate the original model, which imagines no limit to either of them), but the runtime is very painful on my laptop",0.07746368033,0.1631088728,0.01263501358,0.115043623,0.008911702435,0.705317994,0.7223142242,0.590274371,0.6964062915,0.6985444212,0.7197300001,0.5767731389,0.6861265476,0.6889508216,0.7140384772,0.5534786333,0.6641558718,0.6678217746,0.7017126847,0.5099222985,0.6174924022,0.6220638544,0.6749192475,0.4232433566,0.5174568558,0.5225966634,0.6218385949,0.2601395104,0.321258416,0.3255415647,0.5543426587,0.05901446341,0.07365276705,0.07497157896,0.5359953926,0.005308057298,0.006698502708,0.006859712403,0.5342916489,0.0004057358482,0.0005180093785,0.000534782727,0.534158648,3.04E-05,3.93E-05,4.1E-05,70,0.5341484009,2.16E-06,2.83E-06,2.99E-06,0.5341475947,20,12,5000,0.00035,118,3.5,1.05,15,2.5,184000,0.0009,20,3.5,1.05,10,2,87000,0.0015,69,3.5,1.05,0,2,61000,exponential,1.4,0.026,66,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,
Sasha’s original defaults except with most optimistic prospects in times of perils,,0.070585855,0.1620974961,0.01144179036,0.1144062607,0.00807546373,0.7057867236,0.7226668222,0.5913804629,0.6977112599,0.6998533961,0.7225876775,0.5856545388,0.6966918181,0.6995595815,0.7223224711,0.578966382,0.6947403188,0.6985750369,0.7217467649,0.5708886024,0.6913197864,0.6964378014,0.7205454186,0.5604227777,0.685172263,0.6919779581,0.7178830906,0.5450600612,0.6731200946,0.6820944073,0.7115053848,0.5182788621,0.6468358788,0.6584179944,0.6952496616,0.4627881495,0.5840154878,0.5980707122,0.6520615355,0.3321104849,0.4240107119,0.4377403464,0.5341475947,20,10,4000,70,0.00035,118,1.2,1.05,15,2.5,184000,0.0009,20,1.2,1.05,10,2,87000,0.0015,69,1.2,1.05,0,2,61000,exponential,1.4,0.026,66,80,0.07,2,1.2,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults except with most pessimistic prospects in times of perils,,-0.3344030534,0.1187429113,-0.0397079921,0.07335151262,-0.02452896979,0.6177338237,0.7076848337,0.5443823111,0.6422627935,0.64423469,0.6866953286,0.4741044019,0.5639923126,0.5663138506,0.6331319171,0.3045496622,0.3654494216,0.3674665717,0.541137185,0.02127022997,0.0257572682,0.02594795576,0.5342178263,0.0002111580416,0.0002581615861,0.0002607258596,0.5341482592,1.97E-06,2.43E-06,2.47E-06,0.5341476009,1.84E-08,2.29E-08,2.33E-08,0.5341475947,1.72E-10,2.17E-10,2.22E-10,0.5341475947,2.01E-12,2.57E-12,2.65E-12,0.5341475947,20,10,4000,70,0.004,118,10,1.05,15,2.5,184000,0.0009,20,10,1.05,10,2,87000,0.0015,69,10,1.05,0,2,61000,exponential,1.4,0.026,66,80,0.07,2,10,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults except with a higher background extinction risk and faster recovery from preindustrial states,,0.2154952412,0.2896191876,0.06241155669,0.1972665051,0.0425099931,0.681123743,0.7094792605,0.4838572379,0.6386137499,0.6508962685,0.6983044618,0.4438915637,0.5940513204,0.609411265,0.6760929761,0.375009556,0.5092332613,0.5269539801,0.6376891717,0.266281569,0.3671632933,0.3843847934,0.586837538,0.1312833939,0.1839517197,0.1956046407,0.5458413617,0.02805706231,0.0399816724,0.04341160681,0.535195002,0.00240081765,0.00348232157,0.003888365175,0.5342261759,0.000170294969,0.0002516442436,0.0002917229192,0.534153189,1.13E-05,1.7E-05,2.08E-05,0.5341475947,20,10,4000,70,0.00035,118,3.5,1.05,15,2.5,28000,0.0009,20,3.5,1.05,10,2,12000,0.0015,69,3.5,1.05,0,2,9300,exponential,1.4,0.026,66,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,3700,14000,1.05,14000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults except with a lower background extinction risk and slower recovery from preindustrial states,,-0.04496699745,0.04850224908,-0.002181000511,0.03478715883,-0.001564274083,0.717227747,0.7278276759,0.6824405882,0.7187920211,0.7190124019,0.7272628741,0.6786163852,0.7166212142,0.7169156479,0.7253904973,0.6701146454,0.709574001,0.7099646897,0.720812967,0.6520844378,0.6924602527,0.6929711968,0.7092832742,0.6098194088,0.6495263997,0.6501686948,0.6799762963,0.5060039389,0.5406537762,0.5413703068,0.612603213,0.2712071317,0.290739953,0.2912563966,0.5469822377,0.04418639923,0.0475337856,0.04764696214,0.5351758409,0.003524236932,0.00380508689,0.003817231933,0.5341475947,20,10,4000,70,0.00035,118,3.5,1.05,15,2.5,1840000,0.0009,20,3.5,1.05,10,2,870000,0.0015,69,3.5,1.05,0,2,610000,exponential,1.4,0.026,66,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,43000,870000,1.05,870000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults with maximally pessimistic values & exponential algorithm,,0.1099368259,0.9644636201,0.1060300691,0.5323427175,0.05852406863,0.5519572811,0.6770580794,0.0196145636,0.4934332125,0.530536802,0.648602071,0.01289351368,0.3811127689,0.424897529,0.5884267338,0.004889021983,0.1711742033,0.2015043257,0.5355615655,9.83E-05,0.004109819997,0.005249185116,0.5341609358,6.81E-07,3.43E-05,4.95E-05,0.5341477188,4.33E-09,2.66E-07,4.61E-07,0.5341475958,2.49E-11,1.88E-09,4.28E-09,0.5341475947,1.23E-13,1.15E-11,3.98E-11,0.5341475947,8.65E-16,1.01E-13,6.51E-13,0.5341475947,20,10,4000,70,0.004,118,10,1.05,15,2.5,28000,0.0009,20,10,1.05,10,2,14000,0.0015,69,10,1.05,0,2,61000,exponential,1.4,0.026,66,80,0.07,2,10,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,43000,14000,1.05,14000,0.7,1450,1.5,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults with maximally pessimistic values & linear algorithm,,0.3532803975,0.9739259518,0.3440689474,0.406986441,0.1437803317,0.4178823248,0.6135343237,0.01089588387,0.2741019932,0.2947130254,0.5413672091,0.0008133032462,0.02404001421,0.02680189033,0.5342210567,6.62E-06,0.0002316693949,0.0002727185775,0.5341482918,4.84E-08,2.03E-06,2.59E-06,0.5341476013,3.38E-10,1.7E-08,2.46E-08,0.5341475947,2.2E-12,1.35E-10,2.34E-10,0.5341475947,1.29E-14,9.71E-13,2.22E-12,0.5341475947,7.27E-17,6.8E-15,2.35E-14,0.5341475947,1.48E-16,1.74E-14,1.12E-13,0.5341475947,20,10,4000,70,0.004,118,10,1.05,15,2.5,28000,0.0009,20,10,1.05,10,2,14000,0.0015,69,10,1.05,0,2,61000,linear,1,0.026,66,80,0.07,2,10,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,43000,14000,1.05,14000,0.7,1450,1.5,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults with maximally optimistic values,,1.839189957,-0.0007198194339,-0.001323884673,-0.0005182206871,-0.0009531062831,0.7199315033,0.7283476164,0.7204497239,0.7208846095,0.7209426141,0.728710739,0.7217634555,0.7222209249,0.72229066,0.728898783,0.722424197,0.7229049873,0.7229887494,0.7287494129,0.7218293732,0.7223337957,0.722434232,0.7278583058,0.7184789469,0.7190061413,0.7191261114,0.7251974454,0.7085601031,0.7091060253,0.7092480094,0.7181416437,0.6823381518,0.6828901674,0.6830542526,0.6999703945,0.6148960362,0.6154183741,0.615595826,0.6534339399,0.4422875377,0.4426820432,0.442835221,0.5341475947,20,10,4000,70,0.00035,118,1.2,1.05,15,2.5,1740000,0.0009,20,1.2,1.05,10,2,870000,0.0015,69,1.2,1.05,0,2,580000,exponential,1.4,0.026,66,80,0.07,2,1.2,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,500,870000,1.05,870000,0.7,100,1.2,,,,,,,,,,,,,,,,,,,,
